"family","order","class","final_diet","feed_mode","source","notes","zoophagous","phytophagous","detritophagous","mycetophagous","saprophagous","coprophagous","phyllophagous","saproxylic","sap.sucking","stem","flower","seed","gall.inducing","miners","roots","not.specified","predator","parasitoid","micropredator","parasite","necrophorous","not.specified.1","n","c","c-(h)","c-d","c-d-h","c-f","c-h","d","d-f","d-h","f","f-h","h","h-(c)","diet.cat","diet.cat2"
"Clubionidae","Araneae","Arachnida","zoophagous","predator","Borror & Delong",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","1","0","0","0","0","0","0","0","0","0","0","0","0","zoophagous-predator","Predator"
"Linyphiidae","Araneae","Arachnida","zoophagous","predator","Borror & Delong",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","72","1","0","0","0","0","0","0","0","0","0","0","0","0","zoophagous-predator","Predator"
"Pisauridae","Araneae","Arachnida","zoophagous","predator","Borror & Delong",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","0","0","0","0","0","0","0","0","0","0","0","0","zoophagous-predator","Predator"
"Salticidae","Araneae","Arachnida","zoophagous","predator","Borror & Delong",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","1","0","0","0","0","0","0","0","0","0","0","0","0","zoophagous-predator","Predator"
"Tetragnathidae","Araneae","Arachnida","zoophagous","predator","Borror & Delong",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9","1","0","0","0","0","0","0","0","0","0","0","0","0","zoophagous-predator","Predator"
"Theridiidae","Araneae","Arachnida","zoophagous","predator","Borror & Delong",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","22","1","0","0","0","0","0","0","0","0","0","0","0","0","zoophagous-predator","Predator"
"Brachychthoniidae","Sarcoptiformes","Arachnida","mixed","NA","Velazco et al. (2022)","""the order Sarcoptiformes (Acari) consumes mainly saprophytic fungi, bacteria, litter, plant tissues, and Mycorrhizal fungi"" doi.org/10.1101/2021.02.06.430061","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"multiple categories","Mulitple categories"
"Cymbaeremaeidae","Sarcoptiformes","Arachnida","mixed","NA","Velazco et al. (2022)","""the order Sarcoptiformes (Acari) consumes mainly saprophytic fungi, bacteria, litter, plant tissues, and Mycorrhizal fungi"" doi.org/10.1101/2021.02.06.430061","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
"Nanorchestidae","Sarcoptiformes","Arachnida","mixed","NA","Velazco et al. (2022)","""the order Sarcoptiformes (Acari) consumes mainly saprophytic fungi, bacteria, litter, plant tissues, and Mycorrhizal fungi"" doi.org/10.1101/2021.02.06.430062","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
"Oribatulidae","Sarcoptiformes","Arachnida","mixed","NA","Velazco et al. (2022)","""the order Sarcoptiformes (Acari) consumes mainly saprophytic fungi, bacteria, litter, plant tissues, and Mycorrhizal fungi"" doi.org/10.1101/2021.02.06.430063","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
"Parakalummidae","Sarcoptiformes","Arachnida","mixed","NA","Velazco et al. (2022)","""the order Sarcoptiformes (Acari) consumes mainly saprophytic fungi, bacteria, litter, plant tissues, and Mycorrhizal fungi"" doi.org/10.1101/2021.02.06.430064","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
"Tectocepheidae","Sarcoptiformes","Arachnida","mixed","NA","Velazco et al. (2022)","""the order Sarcoptiformes (Acari) consumes mainly saprophytic fungi, bacteria, litter, plant tissues, and Mycorrhizal fungi"" doi.org/10.1101/2021.02.06.430065","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
"Cunaxidae","Trombidiformes","Arachnida","zoophagous","predator","https://doi.org/10.3897/zookeys.418.7629",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","zoophagous-predator","Predator"
"Erythraeidae","Trombidiformes","Arachnida","zoophagous","predator","Velazco et al. (2022)","""Trombidiformes have a diet based mainly on microarthropods and nematodes""  doi.org/10.1101/2021.02.06.430","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","zoophagous-predator","Predator"
"Eupodidae","Trombidiformes","Arachnida","zoophagous","predator","Velazco et al. (2022)","""Trombidiformes have a diet based mainly on microarthropods and nematodes""  doi.org/10.1101/2021.02.06.430","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","zoophagous-predator","Predator"
"Phytoptidae","Trombidiformes","Arachnida","phytophagous","phyllophagous","https://link.springer.com/article/10.1007/s10493-015-9934-z","""plant-feeding mites""","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-phyllophagous","Phytophagous"
"Tarsonemidae","Trombidiformes","Arachnida","mixed","NA","https://link.springer.com/chapter/10.1007/978-4-431-99456-5_8","This family is noted to be phytophagous, ominviourous and predator in a table","NA","0.33","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.33","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
"Henicopidae","Lithobiomorpha","Chilopoda","zoophagous","predator","Borror & Delong","all centipedes predators","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","zoophagous-predator","Predator"
"Entomobryidae","Entomobryomorpha","Collembola","mixed","NA","Velazco et al. (2022)","""mainly associated with saprophytic fungi (119 species), followed in importance by bacteria, litter and humus."" doi.org/10.1101/2021.02.06.430","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
"Blattidae","Blattodea","Insecta","detritophagous","NA","Horren",NA,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","detritophagous/scavenger","Scavenger"
"Ectobiidae","Blattodea","Insecta","detritophagous","NA","McPherson et al. (2021)","https://academic.oup.com/jee/article-abstract/114/5/2189/6321385","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","detritophagous/scavenger","Scavenger"
"Rhinotermitidae","Blattodea","Insecta","phytophagous","saproxylic","Horren",NA,"0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-saproxylic","Phytophagous"
"Anobiidae","Coleoptera","Insecta","phytophagous","saproxylic","Horren",NA,"0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-saproxylic","Phytophagous"
"Apionidae","Coleoptera","Insecta","phytophagous","mixed","Horren",NA,"0","1","0","0","0","0","0","0","0","0.2","0.4","0.3","0","0","0.1","0","0","0","0","0","0","0","44","0","0","0","0","0","0","0","0","0","0","0","1","0","phytophagous-multiple/other","Phytophagous"
"Buprestidae","Coleoptera","Insecta","phytophagous","saproxylic","Horren",NA,"0","1","0","0","0","0","0","0.9","0","0.1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","1","0","phytophagous-saproxylic","Phytophagous"
"Cantharidae","Coleoptera","Insecta","zoophagous","predator","Horren",NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","21","1","0","0","1","0","1","0","0","0","0","0","0","0","zoophagous-predator","Predator"
"Carabidae","Coleoptera","Insecta","zoophagous","predator","Horren",NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","27","1","1","0","0","0","1","0","0","0","0","0","0","0","zoophagous-predator","Predator"
"Cerambycidae","Coleoptera","Insecta","phytophagous","saproxylic","Horren",NA,"0","1","0","0","0","0","0","0.9","0","0.1","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","1","0","1","0","1","1","0","phytophagous-saproxylic","Phytophagous"
