"db","finaltax","species","genus","family","order","class","phylum","kingdom"
"ncbi","Aaroniella badonneli","Aaroniella badonneli","Aaroniella","Philotarsidae","Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Abacidus permundus","Abacidus permundus","Abacidus","Carabidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Ablabesmyia aspera","Ablabesmyia aspera","Ablabesmyia","Chironomidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Acalyptratae",NA,NA,NA,"Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Achipteria coleoptrata","Achipteria coleoptrata","Achipteria","Achipteriidae","Sarcoptiformes","Arachnida","Arthropoda","Metazoa"
"ncbi","Achradocera arcuata","Achradocera arcuata","Achradocera","Dolichopodidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Acordulecera dorsalis","Acordulecera dorsalis","Acordulecera","Pergidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Acrididae",NA,NA,"Acrididae","Orthoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Acridomorpha",NA,NA,NA,"Orthoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Acroceridae",NA,NA,"Acroceridae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Acronicta oblinita","Acronicta oblinita","Acronicta","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Acrosternum hilare","Acrosternum hilare","Acrosternum","Pentatomidae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Acylomus",NA,"Acylomus","Phalacridae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Adelges tsugae","Adelges tsugae","Adelges","Adelgidae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Adephaga",NA,NA,NA,"Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Aedes vexans","Aedes vexans","Aedes","Culicidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Aedini",NA,NA,"Culicidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Aegomorphus morrisi","Aegomorphus morrisi","Aegomorphus","Cerambycidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Aethes promptana","Aethes promptana","Aethes","Tortricidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Agrotis",NA,"Agrotis","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Ahasverus advena","Ahasverus advena","Ahasverus","Silvanidae","Coleoptera","Insecta","Arthropoda","Metazoa"
