"family","order","class","larva_terrestrial","larva_aquatic","adult_terrestrial","adult_aquatic","source","notes","life.cat"
"Clubionidae","Araneae","Arachnida",1,0,1,0,"The spiders are commonly known for being on land, there is one species (from a different family) that is aquatic",NA,"Fully terrestrial"
"Linyphiidae","Araneae","Arachnida",1,0,1,0,NA,NA,"Fully terrestrial"
"Pisauridae","Araneae","Arachnida",1,0,1,0,NA,NA,"Fully terrestrial"
"Salticidae","Araneae","Arachnida",1,0,1,0,NA,NA,"Fully terrestrial"
"Tetragnathidae","Araneae","Arachnida",1,0,1,0,NA,NA,"Fully terrestrial"
"Theridiidae","Araneae","Arachnida",1,0,1,0,NA,NA,"Fully terrestrial"
"Brachychthoniidae","Sarcoptiformes","Arachnida",1,0,1,0,"Entomological Review 92:447–458 (2012)","https://link.springer.com/article/10.1134/S0013873812040100","Fully terrestrial"
"Cymbaeremaeidae","Sarcoptiformes","Arachnida",1,0,1,0,"Encyclopediat of Insects","The chapter lists all of the aquatic species/families and none of the our groups are those, thus all terrrestrial","Fully terrestrial"
"Nanorchestidae","Sarcoptiformes","Arachnida",1,0,1,0,"Encyclopediat of Insects",NA,"Fully terrestrial"
"Oribatulidae","Sarcoptiformes","Arachnida",1,0,1,0,"Encyclopediat of Insects",NA,"Fully terrestrial"
"Parakalummidae","Sarcoptiformes","Arachnida",1,0,1,0,"Encyclopediat of Insects",NA,"Fully terrestrial"
"Tectocepheidae","Sarcoptiformes","Arachnida",1,0,1,0,"Encyclopediat of Insects",NA,"Fully terrestrial"
"Cunaxidae","Trombidiformes","Arachnida",1,0,1,0,"Encyclopediat of Insects","https://doi.org/10.1016/B978-0-12-374144-8.00178-8   Chapter 169 on mites;  All of the Trombidiformes are terrestrial except one family (Halacaridae)","Fully terrestrial"
"Erythraeidae","Trombidiformes","Arachnida",1,0,1,0,"Encyclopediat of Insects","https://doi.org/10.1016/B978-0-12-374144-8.00178-8   Chapter 169 on mites;  All of the Trombidiformes are terrestrial except one family (Halacaridae)","Fully terrestrial"
"Eupodidae","Trombidiformes","Arachnida",1,0,1,0,"Encyclopediat of Insects","https://doi.org/10.1016/B978-0-12-374144-8.00178-8   Chapter 169 on mites;  All of the Trombidiformes are terrestrial except one family (Halacaridae)","Fully terrestrial"
"Tarsonemidae","Trombidiformes","Arachnida",1,0,1,0,"Encyclopediat of Insects","https://doi.org/10.1016/B978-0-12-374144-8.00178-8   Chapter 169 on mites;  All of the Trombidiformes are terrestrial except one family (Halacaridae)","Fully terrestrial"
"Phytoptidae","Trombidiformes","Arachnida",1,0,1,0,"Encyclopediat of Insects","https://doi.org/10.1016/B978-0-12-374144-8.00178-8   Chapter 169 on mites;  All of the Trombidiformes are terrestrial except one family (Halacaridae)","Fully terrestrial"
"Henicopidae","Lithobiomorpha","Chilopoda",1,0,1,0,NA,NA,"Fully terrestrial"
"Entomobryidae","Entomobryomorpha","Collembola",1,0,1,0,"IB","DLP","Fully terrestrial"
"Blattidae","Blattodea","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Ectobiidae","Blattodea","Insecta",1,0,1,0,"IB","DLP","Fully terrestrial"
"Rhinotermitidae","Blattodea","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Anobiidae","Coleoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Apionidae","Coleoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Buprestidae","Coleoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Cantharidae","Coleoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Carabidae","Coleoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Cerambycidae","Coleoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Chrysomelidae","Coleoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Cleridae","Coleoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Coccinellidae","Coleoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Corylophidae","Coleoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Curculionidae","Coleoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Dytiscidae","Coleoptera","Insecta",0,1,0,1,"ITT",NA,"Fully aquatic"
"Elateridae","Coleoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Endomychidae","Coleoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Erotylidae","Coleoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Hydrophilidae","Coleoptera","Insecta",0.4,0.6,0.4,0.6,"ITT",NA,"Some larvae aquatic"
"Laemophloeidae","Coleoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Latridiidae","Coleoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Melandryidae","Coleoptera","Insecta",1,0,1,0,"Borror & White",NA,"Fully terrestrial"
"Meloidae","Coleoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Melyridae","Coleoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Monotomidae","Coleoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Mycetophagidae","Coleoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Nitidulidae","Coleoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Phalacridae","Coleoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Ptiliidae","Coleoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Scarabaeidae","Coleoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Scraptiidae","Coleoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Silphidae","Coleoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Silvanidae","Coleoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Staphylinidae","Coleoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Tenebrionidae","Coleoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Acroceridae","Diptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Agromyzidae","Diptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Anisopodidae","Diptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Asilidae","Diptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Bibionidae","Diptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Calliphoridae","Diptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Cecidomyiidae","Diptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Ceratopogonidae","Diptera","Insecta",0.1,0.9,1,0,"ITT",NA,"Some larvae aquatic"
"Chaoboridae","Diptera","Insecta",0,1,1,0,"ITT",NA,"All larvae aquatic"
"Chironomidae","Diptera","Insecta",0,1,1,0,"ITT",NA,"All larvae aquatic"
"Chloropidae","Diptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Culicidae","Diptera","Insecta",0,1,1,0,"ITT",NA,"All larvae aquatic"
"Dolichopodidae","Diptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Drosophilidae","Diptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Ephydridae","Diptera","Insecta",0.3,0.7,1,0,"ITT",NA,"Some larvae aquatic"
"Fanniidae","Diptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Limoniidae","Diptera","Insecta",0.5,0.5,1,0,"ITT",NA,"Some larvae aquatic"
"Muscidae","Diptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Mycetophilidae","Diptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Pediciidae","Diptera","Insecta",0.1,0.9,1,0,"ITT",NA,"Some larvae aquatic"
"Phoridae","Diptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Platypezidae","Diptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Platystomatidae","Diptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Polleniidae","Diptera","Insecta",1,0,1,0,"ITT","based on info for Calliphoidae which Polleniidae used to be in","Fully terrestrial"
"Psychodidae","Diptera","Insecta",0.3,0.7,1,0,"ITT",NA,"Some larvae aquatic"
"Rhiniidae","Diptera","Insecta",1,0,1,0,"ITT","based on info for Calliphoidae which Rhiniidae used to be in","Fully terrestrial"
"Sarcophagidae","Diptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Scatopsidae","Diptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Sciaridae","Diptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Simuliidae","Diptera","Insecta",0,1,1,0,"ITT",NA,"All larvae aquatic"
"Sphaeroceridae","Diptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Stratiomyidae","Diptera","Insecta",0.5,0.5,1,0,"ITT",NA,"Some larvae aquatic"
"Syrphidae","Diptera","Insecta",0.8,0.2,1,0,"ITT",NA,"Some larvae aquatic"
"Tabanidae","Diptera","Insecta",0,1,1,0,"ITT",NA,"All larvae aquatic"
"Tachinidae","Diptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Tephritidae","Diptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Tipulidae","Diptera","Insecta",0.9,0.1,1,0,"ITT",NA,"Some larvae aquatic"
"Trichoceridae","Diptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Ulidiidae","Diptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Baetidae","Ephemeroptera","Insecta",0,1,1,0,"ITT",NA,"All larvae aquatic"
"Caenidae","Ephemeroptera","Insecta",0,1,1,0,"ITT",NA,"All larvae aquatic"
"Ephemerellidae","Ephemeroptera","Insecta",0,1,1,0,"ITT",NA,"All larvae aquatic"
"Adelgidae","Hemiptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Aphalaridae","Hemiptera","Insecta",1,0,1,0,"IB, Insect Biodiversity : Science and Society, Volume 2","DLP, this book has information on many families or their superfamil","Fully terrestrial"
"Aphididae","Hemiptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Cicadellidae","Hemiptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
