"family","order","class","final_min","final_max","final_mid","final_source","Body_Size","Body_Size_order"
"Clubionidae","Araneae","Arachnida","3",10,6.5,"Milne & Milne","5-10 mm",4
"Linyphiidae","Araneae","Arachnida","2",8,5,"Milne & Milne","<5 mm",5
"Pisauridae","Araneae","Arachnida","7",26,16.5,"Milne & Milne","10-20 mm",3
"Salticidae","Araneae","Arachnida","3",15,9,"Milne & Milne","5-10 mm",4
"Tetragnathidae","Araneae","Arachnida","3",9,6,"Milne & Milne","5-10 mm",4
"Theridiidae","Araneae","Arachnida","1.5",14,7.75,"Milne & Milne","5-10 mm",4
"Brachychthoniidae","Sarcoptiformes","Arachnida","0.2",1.5,0.85,"https://www.sciencedirect.com/topics/immunology-and-microbiology/oribatida","<5 mm",5
"Cymbaeremaeidae","Sarcoptiformes","Arachnida","0.2",1.5,0.85,"https://www.sciencedirect.com/topics/immunology-and-microbiology/oribatida","<5 mm",5
"Nanorchestidae","Sarcoptiformes","Arachnida","0.2",0.3,0.25,"https://link.springer.com/chapter/10.1007/978-90-481-9837-5_25?noAccess=true","<5 mm",5
"Oribatulidae","Sarcoptiformes","Arachnida","0.2",1.5,0.85,"https://www.sciencedirect.com/topics/immunology-and-microbiology/oribatida","<5 mm",5
"Parakalummidae","Sarcoptiformes","Arachnida","0.2",1.5,0.85,"https://www.sciencedirect.com/topics/immunology-and-microbiology/oribatida","<5 mm",5
"Tectocepheidae","Sarcoptiformes","Arachnida","0.2",1.5,0.85,"https://www.sciencedirect.com/topics/immunology-and-microbiology/oribatida","<5 mm",5
"Cunaxidae","Trombidiformes","Arachnida","0.4",0.75,0.575,"bugguide (data)","<5 mm",5
"Erythraeidae","Trombidiformes","Arachnida","2.4",2.8,2.6,"bugguide (data)","<5 mm",5
"Eupodidae","Trombidiformes","Arachnida","0.3",1,0.65,"bugguide (data)","<5 mm",5
"Tarsonemidae","Trombidiformes","Arachnida","0.2",0.3,0.25,"bugguide (data) / UGA extension","<5 mm",5
"Phytoptidae","Trombidiformes","Arachnida","0.2",0.25,0.225,"https://link.springer.com/article/10.1007/s10493-015-9981-5","<5 mm",5
"Henicopidae","Lithobiomorpha","Chilopoda","6",30,18,"bugguide (data)","10-20 mm",3
"Entomobryidae","Entomobryomorpha","Collembola","0.25",6,3,"Borror","<5 mm",5
"Blattidae","Blattodea","Insecta","25",39,27,"Borror",">20 mm",2
"Ectobiidae","Blattodea","Insecta","3",12,7.5,"Borror","5-10 mm",4
"Rhinotermitidae","Blattodea","Insecta","6",8,7,"Borror","5-10 mm",4
"Anobiidae","Coleoptera","Insecta","1",9,5,"Borror","<5 mm",5
"Apionidae","Coleoptera","Insecta","1",4.5,2.75,"Borror & White","<5 mm",5
"Buprestidae","Coleoptera","Insecta","3",20,11.5,"Borror","10-20 mm",3
"Cantharidae","Coleoptera","Insecta","1",15,8,"Borror","5-10 mm",4
"Carabidae","Coleoptera","Insecta","5",25,15,"Borror","10-20 mm",3
"Cerambycidae","Coleoptera","Insecta","3",60,31.5,"Borror",">20 mm",2
"Chrysomelidae","Coleoptera","Insecta","3.5",12,7.75,"Borror","5-10 mm",4
"Cleridae","Coleoptera","Insecta","5",12,8.5,"Borror","5-10 mm",4
"Coccinellidae","Coleoptera","Insecta","0.8",10,5.4,"Borror","5-10 mm",4
"Corylophidae","Coleoptera","Insecta","0.56000000000000005",1,0.78,"Borror/bugguide (range)","<5 mm",5
"Curculionidae","Coleoptera","Insecta","1.5",15,8.25,"Borror","5-10 mm",4
"Dytiscidae","Coleoptera","Insecta","1.2",40,20.1,"Borror",">20 mm",2
"Elateridae","Coleoptera","Insecta","12",30,21,"Borror",">20 mm",2
"Endomychidae","Coleoptera","Insecta","3",8,5.5,"Borror","5-10 mm",4
"Erotylidae","Coleoptera","Insecta","8",20,14,"Borror","10-20 mm",3
"Hydrophilidae","Coleoptera","Insecta","3",40,21.5,"Borror",">20 mm",2
"Laemophloeidae","Coleoptera","Insecta","1.3",3,2.15,"bugguide (range)","<5 mm",5
"Latridiidae","Coleoptera","Insecta","1",3,1.5,"Borror","<5 mm",5
"Melandryidae","Coleoptera","Insecta","3",20,11.5,"Borror","10-20 mm",3
"Meloidae","Coleoptera","Insecta","7",25,16,"Borror","10-20 mm",3
"Melyridae","Coleoptera","Insecta","2",10,6,"Borror/bugguide (range)","5-10 mm",4
"Monotomidae","Coleoptera","Insecta","1.5",3,2.25,"Borror","<5 mm",5
"Mycetophagidae","Coleoptera","Insecta","1.5",5.5,3.5,"Borror","<5 mm",5
"Nitidulidae","Coleoptera","Insecta","0.9",12,6.45,"Borror/bugguide (range)","5-10 mm",4
"Phalacridae","Coleoptera","Insecta","1",3,2,"Borror","<5 mm",5
"Ptiliidae","Coleoptera","Insecta","0.35",1,0.675,"Borror/bugguide (range)","<5 mm",5
"Scarabaeidae","Coleoptera","Insecta","5",50,27.5,"Borror",">20 mm",2
"Scraptiidae","Coleoptera","Insecta","1",13.5,7.25,"bugguide (range)","5-10 mm",4
"Silphidae","Coleoptera","Insecta","10",35,22.5,"Borror",">20 mm",2
"Silvanidae","Coleoptera","Insecta","1.2",15,8.1,"bugguide (range)","5-10 mm",4
"Staphylinidae","Coleoptera","Insecta","0.5",25,12.75,"Borror","10-20 mm",3
"Tenebrionidae","Coleoptera","Insecta","5",17,11,"Borror","10-20 mm",3
"Acroceridae","Diptera","Insecta","3",6,6,"bugguide (data)","5-10 mm",4
"Agromyzidae","Diptera","Insecta","1",5,3,"bugguide (range)","<5 mm",5
"Anisopodidae","Diptera","Insecta","4",8,6,"bugguide (range)","5-10 mm",4
"Asilidae","Diptera","Insecta","9",15,12,"bugguide (range)","10-20 mm",3
"Bibionidae","Diptera","Insecta","5",12,8.5,"bugguide (range)","5-10 mm",4
"Calliphoridae","Diptera","Insecta","5",15,10,"Milne & Milne","5-10 mm",4
"Cecidomyiidae","Diptera","Insecta","1",5,3,"Borror","<5 mm",5
"Ceratopogonidae","Diptera","Insecta","1",3,2,"bugguide (range)","<5 mm",5
"Chaoboridae","Diptera","Insecta","1.5",10,5.75,"bugguide (range)","5-10 mm",4
"Chironomidae","Diptera","Insecta","1",10,5.5,"Borror","5-10 mm",4
"Chloropidae","Diptera","Insecta","1.6",3.2,2.4,"Insects of Texas","<5 mm",5
"Culicidae","Diptera","Insecta","3",15,9,"bugguide (range)","5-10 mm",4
"Dolichopodidae","Diptera","Insecta","1",5,3,"bugguide (range)","<5 mm",5
"Drosophilidae","Diptera","Insecta","3",4,3.5,"Borror","<5 mm",5
"Ephydridae","Diptera","Insecta","2.5",9,5.75,"bugguide (range)","5-10 mm",4
"Fanniidae","Diptera","Insecta","3",7,5,"bugguide (data)","<5 mm",5
"Limoniidae","Diptera","Insecta","10",25,17.5,"Borror & White","10-20 mm",3
"Muscidae","Diptera","Insecta","3",12,7.5,"Milne & Milne","5-10 mm",4
"Mycetophilidae","Diptera","Insecta","2.2000000000000002",13.5,7.85,"bugguide (range)","5-10 mm",4
"Pediciidae","Diptera","Insecta","5",35,20,"bugguide (data)","10-20 mm",3
"Phoridae","Diptera","Insecta","1",7,4,"bugguide (range)","<5 mm",5
"Platypezidae","Diptera","Insecta","2",5,3.5,"bugguide (range)","<5 mm",5
"Platystomatidae","Diptera","Insecta","3",12,7.5,"bugguide (range)","5-10 mm",4
"Polleniidae","Diptera","Insecta","5",15,10,"Milne & Milne","5-10 mm",4
"Psychodidae","Diptera","Insecta","1.5",4,2.75,"bugguide (range)","<5 mm",5
"Rhiniidae","Diptera","Insecta","5",15,10,"Milne & Milne","5-10 mm",4
