"db","query","genus","family","order","class","phylum","kingdom"
"ncbi","Hypera punctata","Hypera","Curculionidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Odonata",NA,NA,"Odonata","Insecta","Arthropoda","Metazoa"
"ncbi","Parcoblatta","Parcoblatta","Blattellidae","Blattodea","Insecta","Arthropoda","Metazoa"
"ncbi","Eunemobius carolinus","Eunemobius","Gryllidae","Orthoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Mephitis mephitis","Mephitis","Mephitidae","Carnivora","Mammalia","Chordata","Metazoa"
"ncbi","Zelus luridus","Zelus","Reduviidae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tropisternus lateralis","Tropisternus","Hydrophilidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Sitona","Sitona","Curculionidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Chaetopsis fulvifrons","Chaetopsis","Ulidiidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Formicidae",NA,"Formicidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Delphinia picta","Delphinia","Ulidiidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Nymphalidae",NA,"Nymphalidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Cyclorhipidion bodoanus","Cyclorhipidion","Curculionidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Cryptolestes turcicus","Cryptolestes","Laemophloeidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Enallagma","Enallagma","Coenagrionidae","Odonata","Insecta","Arthropoda","Metazoa"
"ncbi","Ahasverus advena","Ahasverus","Silvanidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Notodontidae",NA,"Notodontidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Chrysoperla","Chrysoperla","Chrysopidae","Neuroptera","Insecta","Arthropoda","Metazoa"
"ncbi","Episcopomantis chalybea","Episcopomantis","Eremiaphilidae","Mantodea","Insecta","Arthropoda","Metazoa"
"ncbi","Mermiria bivittata","Mermiria","Acrididae","Orthoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Sylvilagus floridanus","Sylvilagus","Leporidae","Lagomorpha","Mammalia","Chordata","Metazoa"
"ncbi","Tachinidae",NA,"Tachinidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Jikradia olitoria","Jikradia","Cicadellidae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Anomopsocus amabilis","Anomopsocus","Lachesillidae","Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Antheraea polyphemus","Antheraea","Saturniidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Latridiidae",NA,"Latridiidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Mantura chrysanthemi","Mantura","Chrysomelidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Callibaetis ferrugineus","Callibaetis","Baetidae","Ephemeroptera","Insecta","Arthropoda","Metazoa"
"ncbi","Dicranomyia","Dicranomyia","Limoniidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Camponotus","Camponotus","Formicidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Cantharidae",NA,"Cantharidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Stratiomyidae",NA,"Stratiomyidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Papilionidae",NA,"Papilionidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Chaetocnema confinis","Chaetocnema","Chrysomelidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Perapion curtirostre","Perapion","Apionidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Reticulitermes","Reticulitermes","Rhinotermitidae","Blattodea","Insecta","Arthropoda","Metazoa"
"ncbi","Nepticulidae",NA,"Nepticulidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Anevrina thoracica","Anevrina","Phoridae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Eptesicus fuscus","Eptesicus","Vespertilionidae","Chiroptera","Mammalia","Chordata","Metazoa"
"ncbi","Rodentia",NA,NA,"Rodentia","Mammalia","Chordata","Metazoa"
"ncbi","Culicidae",NA,"Culicidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Elateridae",NA,"Elateridae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Metylophorus novaescotiae","Metylophorus","Psocidae","Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Meloidae",NA,"Meloidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Limnephilidae",NA,"Limnephilidae","Trichoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Phanaeus","Phanaeus","Scarabaeidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Olibrus","Olibrus","Phalacridae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Lygus lineolaris","Lygus","Miridae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Corticarina","Corticarina","Latridiidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Saldidae",NA,"Saldidae","Hemiptera","Insecta","Arthropoda","Metazoa"
