"db","query","genus","family","order","class","phylum","kingdom"
"ncbi","Typhaea stercorea","Typhaea","Mycetophagidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Paria fragariae","Paria","Chrysomelidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Didion punctatum","Didion","Coccinellidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Gyponana","Gyponana","Cicadellidae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Trichordestra legitima","Trichordestra","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Ochlerotatus triseriatus","Ochlerotatus","Culicidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Harpalus faunus","Harpalus","Carabidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Entomobrya assuta","Entomobrya","Entomobryidae","Entomobryomorpha","Collembola","Arthropoda","Metazoa"
"ncbi","Stenomacrus","Stenomacrus","Ichneumonidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Coleophoridae",NA,"Coleophoridae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Systena marginalis","Systena","Chrysomelidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Oenoe hybromella","Oenoe","Meessiidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Blatodea",NA,NA,NA,NA,NA,NA
"ncbi","Polistes fuscatus","Polistes","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Rheocricotopus robacki","Rheocricotopus","Chironomidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Leucauge venusta","Leucauge","Tetragnathidae","Araneae","Arachnida","Arthropoda","Metazoa"
"ncbi","Athripsodes","Athripsodes","Leptoceridae","Trichoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Toxomerus geminatus","Toxomerus","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Hyperlasion","Hyperlasion","Sciaridae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Cricotopus bicinctus","Cricotopus","Chironomidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Patrobus longicornis","Patrobus","Carabidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Sarcophaga","Sarcophaga","Sarcophagidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Sarcoptiformes",NA,NA,"Sarcoptiformes","Arachnida","Arthropoda","Metazoa"
"ncbi","Gryllus rubens","Gryllus","Gryllidae","Orthoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Synorthocladius","Synorthocladius","Chironomidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Aaroniella","Aaroniella","Philotarsidae","Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Ravinia stimulans","Ravinia","Sarcophagidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Lucilia","Lucilia","Calliphoridae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Ptilodexia","Ptilodexia","Tachinidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Olibrus semistriatus","Olibrus","Phalacridae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Epargyreus clarus","Epargyreus","Hesperiidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Aroga trialbamaculella","Aroga","Gelechiidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Trombidiformes",NA,NA,"Trombidiformes","Arachnida","Arthropoda","Metazoa"
"ncbi","Mythimna unipuncta","Mythimna","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Coproica ferruginata","Coproica","Sphaeroceridae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Lispe tentaculata","Lispe","Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Helina evecta","Helina","Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Xantholinus linearis","Xantholinus","Staphylinidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Dasyhelea ludingensis","Dasyhelea","Ceratopogonidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Acronicta oblinita","Acronicta","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Schizaphis graminum","Schizaphis","Aphididae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Rhipidia","Rhipidia","Limoniidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Psychoda minuta","Psychoda","Psychodidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Hypsopygia olinalis","Hypsopygia","Pyralidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Vespula squamosa","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Micromus posticus","Micromus","Hemerobiidae","Neuroptera","Insecta","Arthropoda","Metazoa"
"ncbi","Orthopodomyia alba","Orthopodomyia","Culicidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Chaoborus punctipennis","Chaoborus","Chaoboridae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Acroceridae",NA,"Acroceridae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Drosophila nigromelanica","Drosophila","Drosophilidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Orchopeas caedens","Orchopeas","Ceratophyllidae","Siphonaptera","Insecta","Arthropoda","Metazoa"
"ncbi","Parallelia bistriaris","Parallelia","Erebidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Stigmella saginella","Stigmella","Nepticulidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Zaphne implicata","Zaphne","Anthomyiidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tabanus","Tabanus","Tabanidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Caenurgina crassiuscula","Caenurgina","Erebidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Pachypsylla","Pachypsylla","Aphalaridae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Muscina pascuorum","Muscina","Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Orocharis saltator","Orocharis","Gryllidae","Orthoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Hydroptilidae",NA,"Hydroptilidae","Trichoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Phidippus audax","Phidippus","Salticidae","Araneae","Arachnida","Arthropoda","Metazoa"
"ncbi","Autographa precationis","Autographa","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Isa textula","Isa","Limacodidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Entomobryomorpha",NA,NA,"Entomobryomorpha","Collembola","Arthropoda","Metazoa"
"ncbi","Pheidole morrisii","Pheidole","Formicidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Aphis craccivora","Aphis","Aphididae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Helicobia rapax","Helicobia","Sarcophagidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Olethreutes","Olethreutes","Tortricidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Mymaridae",NA,"Mymaridae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tipula","Tipula","Tipulidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Cinara watsoni","Cinara","Aphididae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Chrysoperla rufilabris","Chrysoperla","Chrysopidae","Neuroptera","Insecta","Arthropoda","Metazoa"
"ncbi","Eupithecia","Eupithecia","Geometridae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Cymindis platicollis","Cymindis","Carabidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Clubiona","Clubiona","Clubionidae","Araneae","Arachnida","Arthropoda","Metazoa"
"ncbi","Tachygonus lecontei","Tachygonus","Curculionidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Lespesia aletiae","Lespesia","Tachinidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Isotomidae",NA,"Isotomidae","Entomobryomorpha","Collembola","Arthropoda","Metazoa"
"ncbi","Protoboarmia porcelaria","Protoboarmia","Geometridae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Ravinia","Ravinia","Sarcophagidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Arctiinae",NA,"Erebidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tanytarsus guerlus","Tanytarsus","Chironomidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Ectopsocus briggsi","Ectopsocus","Ectopsocidae","Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Macaria","Macaria","Geometridae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Pandeleteius hilaris","Pandeleteius","Curculionidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Chrysobothris rugosiceps","Chrysobothris","Buprestidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tabanus sparus milleri","Tabanus","Tabanidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Scaphinotus","Scaphinotus","Carabidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Psocus leidyi","Psocus","Psocidae","Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Lonchoptera bifurcata","Lonchoptera","Lonchopteridae","Diptera","Insecta","Arthropoda","Metazoa"
